date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg
09/01/2022,MSFT,260.39999,23218111.0,-0.004092,,255.41,260.89001,0.002996,0.0,0.0,0.0,0.0,0.0,-0.11082187784569604
09/08/2022,MSFT,258.51999,20291286.0,0.001666,,254.78999,260.42999,0.006611,0.0,0.2721133530139923,0.0952396735548973,0.0,0.031746557851632475,0.060034239079271044
09/12/2022,MSFT,266.64999,18744767.0,0.008281,,265.16,267.45001,0.010584,0.0,0.0,0.0,0.3249999612569809,0.10833332041899367,0.10646280497312545
09/15/2022,MSFT,245.38,31475089.0,-0.027119,,244.02,251.39999,-0.011318,0.0,0.0,0.0,0.0,0.0,0.04642856589385441
09/16/2022,MSFT,244.74001,39737534.0,-0.002608,,242.0627,245.3,-0.007182,0.0,0.0,0.0,0.0,0.0,0.04642856589385441
09/19/2022,MSFT,244.52,26794442.0,-0.000899,,240.85001,245.14,0.006857,0.0,-0.3566561043262481,-0.1248296365141868,0.0,-0.04160987883806223,-0.0178328052163124
09/20/2022,MSFT,242.45,26622984.0,-0.008466,,239.64,243.50999,-0.011272,0.0,0.0,0.0,-0.1248296365141868,-0.04160987883806223,-0.0178328052163124
09/22/2022,MSFT,240.98,30997848.0,0.008495,,237.57001,243.86,-0.008428,0.0,-0.4786714911460876,-0.1675350219011306,0.0,-0.05584500730037683,-0.04176637977361677
09/23/2022,MSFT,237.92,34163652.0,-0.012698,,235.2,241.13,-0.017233,0.0,0.0,0.0,0.0,-0.05584500730037683,-0.04176637977361677
09/29/2022,MSFT,237.5,27439846.0,-0.014809,,234.41,239.95,-0.021126,0.0,0.0,0.0,0.0,0.0,-0.023933574557304372
09/30/2022,MSFT,232.89999,35526905.0,-0.019368,,232.73,240.53999,-0.015067,0.0,0.0,0.0,0.0,0.0,-0.023933574557304372
10/04/2022,MSFT,248.88,34821766.0,0.033812,,244.97501,250.36,0.030584,0.0,0.0,0.0,0.6499998450279235,0.21666661500930787,0.1857035151549748
10/06/2022,MSFT,246.78999,20197482.0,-0.009671,,246.08,250.34,-0.010245,0.0,0.0,0.0,0.0,0.0,0.1857035151549748
10/11/2022,MSFT,225.41,30420004.0,-0.01675,,224.11,229.06,-0.006519,0.0,0.0,0.0,0.6397165566682815,0.21323885222276054,0.184245200242315
