date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg,year,tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov,sentiment_verdict,final_verdict
2024-05-15,BK,58.8,2710847.0,0.007712,,58.4,58.94,0.011716,0.6927262544631958,0.0,0.4502720654010773,-0.6499989151954652,-0.0665756165981292,-0.1028131966079984,2024,,,0.5,,,,,,,,,,,Buy,Leaning Buy
2024-08-07,BK,61.7,3704821.0,-0.007879,,61.55,63.525,-0.007735,-0.4999985694885254,0.0,-0.3249990701675415,0.0,3.099441528431335e-07,-0.0464281950678144,2024,,,0.5,,,,,,,,,,,Sell,Leaning Sell
2022-01-10,DHR,303.03,3375614.0,0.024893,,291.0,303.23001,-0.001441,0.7172507643699646,0.0,0.466212996840477,0.0,0.2331064984202385,0.2331064984202385,2022,DHR,2022-12-31,0.5192342458907518,0.3744043567052416,0.4155313351498637,0.3406113537117904,0.4352542372881356,0.7834912043301759,0.3464140730717185,0.2666204986149584,0.7104194857916103,0.6454237288135594,0.8741721854304636,Buy,Leaning Buy
2022-07-21,DHR,279.23001,4175866.0,0.090742,,271.45999,279.54999,0.009861,1.0,0.0,0.65,0.0,0.3249995609124501,0.3072858725275312,2022,DHR,2022-12-31,0.5192342458907518,0.3744043567052416,0.4155313351498637,0.3406113537117904,0.4352542372881356,0.7834912043301759,0.3464140730717185,0.2666204986149584,0.7104194857916103,0.6454237288135594,0.8741721854304636,Buy,Leaning Buy
2022-10-20,DHR,243.08,7560336.0,-0.057428,,241.575,254.00999,-0.007951,1.0,0.0,0.65,0.0,0.2166666666666666,0.1857142857142857,2022,DHR,2022-12-31,0.5192342458907518,0.3744043567052416,0.4155313351498637,0.3406113537117904,0.4352542372881356,0.7834912043301759,0.3464140730717185,0.2666204986149584,0.7104194857916103,0.6454237288135594,0.8741721854304636,Buy,Leaning Buy
2022-10-24,DHR,251.67,3645395.0,0.028946,,242.27,252.05,0.011882,0.9902310967445374,0.0,0.6436502128839493,0.0,0.4312167376279831,0.1848071732691356,2022,DHR,2022-12-31,0.5192342458907518,0.3744043567052416,0.4155313351498637,0.3406113537117904,0.4352542372881356,0.7834912043301759,0.3464140730717185,0.2666204986149584,0.7104194857916103,0.6454237288135594,0.8741721854304636,Buy,Leaning Buy
2023-01-24,DHR,271.57999,5210134.0,-0.019567,,263.42001,273.0,-0.000711,-0.998810648918152,0.0,-0.6492269217967988,0.0,-0.2164089739322662,-0.0305023208260536,2023,DHR,2023-12-31,0.4633105374912542,0.169503063308373,0.4986376021798365,0.2154294032023289,0.2176271186440678,0.7293640054127198,0.2604871447902571,0.2444598337950138,0.8572395128552097,0.7030508474576271,0.7373068432671082,Sell,Leaning Sell
2023-02-06,DHR,263.75,2307602.0,-0.022605,,261.78,267.72,-0.00614,5.7637691497802734e-05,0.0,3.746449947357178e-05,0.0,0.2166665504376093,0.000914180278778,2023,DHR,2023-12-31,0.4633105374912542,0.169503063308373,0.4986376021798365,0.2154294032023289,0.2176271186440678,0.7293640054127198,0.2604871447902571,0.2444598337950138,0.8572395128552097,0.7030508474576271,0.7373068432671082,Hold,Hold
2023-04-25,DHR,231.99001,10331547.0,-0.08791,,230.99001,247.64999,-0.015811,0.9999932050704956,0.0,0.6499955832958222,0.0,0.361055291030142,0.2476003328959147,2023,DHR,2023-12-31,0.4633105374912542,0.169503063308373,0.4986376021798365,0.2154294032023289,0.2176271186440678,0.7293640054127198,0.2604871447902571,0.2444598337950138,0.8572395128552097,0.7030508474576271,0.7373068432671082,Buy,Leaning Buy
2024-01-26,DHR,233.0,6344057.0,0.024671,,232.87,240.58,-0.000652,1.0,0.0,0.65,-0.6492269217967988,0.0002576927344004,0.0667122964348111,2024,,,0.5,,,,,,,,,,,Buy,Leaning Buy
2024-04-23,DHR,253.11,6876672.0,0.072137,,249.59,256.72,0.011965,0.6664158304532368,0.0,0.4331702897946039,0.0,0.3610564274920357,0.1555422094606218,2024,,,0.5,,,,,,,,,,,Buy,Leaning Buy
