tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov
CVX,2022-12-31,0.7748674795575059,0.8311776718856365,0.6505449591280654,0.9032023289665211,0.7233898305084746,0.581190798376184,0.7618403247631935,0.6011080332409973,0.9722598105548038,0.8115254237288135,0.9124356144223694
CVX,2023-12-31,0.7202865982846793,0.7399591558883594,0.7411444141689374,0.8820960698689957,0.49491525423728816,0.42625169147496617,0.6752368064952639,0.5775623268698061,0.9742895805142084,0.8135593220338984,0.8778513612950699
CHDN,2021-12-31,0.3411268362599712,0.20353982300884954,0.04223433242506813,0.1870451237263464,0.46440677966101696,0.6089309878213802,0.513531799729364,0.8597645429362881,0.26725304465493915,0.029830508474576245,0.23473142016188372
CHDN,2022-12-31,0.3554297409147007,0.5901974132062628,0.09809264305177112,0.23071324599708876,0.23186440677966103,0.8092016238159675,0.2706359945872801,0.8597645429362881,0.2882273342354533,0.02033898305084747,0.15526122148638705
CHDN,2023-12-31,0.3589537196553412,0.4383934649421375,0.1328337874659401,0.33042212518195047,0.33220338983050846,0.6583220568335588,0.32205683355886333,0.8597645429362881,0.374830852503383,0.032542372881355974,0.10816777041942605
CTAS,2022-05-31,0.45844268420298057,0.2539142273655548,0.11989100817438691,0.22998544395924314,0.808135593220339,0.6109607577807848,0.7780784844384303,0.1925207756232687,0.45128552097428953,0.41559322033898305,0.7240618101545254
CTAS,2023-05-31,0.45785314462978083,0.22328114363512597,0.11580381471389645,0.21906841339155747,0.8264406779661017,0.5906630581867388,0.7983761840324763,0.1945983379501385,0.4208389715832206,0.4786440677966102,0.7108167770419426
CTAS,2024-05-31,0.47858242786899996,0.1484002722940776,0.08446866485013627,0.1593886462882096,0.8664406779661017,0.628552097428958,0.8031123139377537,0.21675900277008311,0.5331529093369418,0.5810169491525423,0.7645327446651949
KO,2021-12-31,0.45474023032011157,0.3955071477195371,0.13487738419618533,0.2554585152838428,0.6332203389830509,0.8220568335588633,0.38633288227334234,0.29085872576177285,0.8531799729364006,0.15118644067796605,0.6247240618101545
KO,2022-12-31,0.4449436732282215,0.33560245064669847,0.12874659400544963,0.24818049490538574,0.6684745762711864,0.7719891745602165,0.44519621109607577,0.27977839335180055,0.7242895805142084,0.17830508474576268,0.6688741721854304
KO,2023-12-31,0.45292137098264573,0.4567733151803949,0.1546321525885559,0.3231441048034934,0.711864406779661,0.7922868741542625,0.4539918809201624,0.278393351800554,0.6380243572395128,0.21016949152542375,0.5099337748344371
CL,2021-12-31,0.47503076358193186,0.257998638529612,0.006811989100817484,0.3944687045123726,0.9498305084745763,0.4979702300405954,0.8558863328822733,0.2756232686980609,0.6539242219215156,0.010847457627118695,0.8469462840323767
